1980Jan 	M 	M 	M 	M 	M 	M 	M 	M 	M 	  	 
Feb 	-1.5 	-6.8 	-12.0 	5.0 	-26.0S 	0.0 	8.6 	8.6 	31 	  	 
Mar 	-1.5 	-7.4 	-13.3 	6.0 	-26.5 	0.0 	4.0 	4.0 	20 	  	 
Apr 	6.2 	1.4 	-3.4 	9.0S 	-8.0 	0.0 	3.0 	3.0 	0 	  	 
May 	M 	M 	M 	M 	M 	M 	M 	M 	M 	  	 
Jun 	19.3 	12.4 	5.4 	27.0S 	-1.5 	4.8 	0.0 	4.8 	0 	  	 
Jul 	18.6 	13.2 	7.8 	25.0 	4.0 	23.6 	0.0 	23.6 	0 	  	 
Aug 	16.5 	10.3 	4.0 	28.0 	-1.5 	36.8 	0.0 	36.8 	0 	  	 
Sept 	9.7 	5.1E 	0.5E 	21.0 	-4.0E 	34.3 	3.8 	38.1 	0 	  	 
Oct 	6.3 	2.3 	-1.8 	11.5 	-12.0 	9.3 	6.3 	15.6 	2 	  	 
Nov 	-1.8 	-5.5 	-9.2 	6.0 	-19.5S 	0.0 	6.2 	6.2 	M 	  	 
Dec 	-21.1 	-26.0 	-30.9 	4.0 	-42.0 	0.0 	13.2 	13.2 	20 	 
1981Jan 	-0.2 	-4.4 	-8.6 	9.0 	-21.0 	0.8 	5.9 	6.7 	12 	  	 
Feb 	-4.5 	-10.0 	-15.4 	4.5S 	-30.5 	0.0 	5.6 	5.6 	M 	  	 
Mar 	3.0 	-2.7 	-8.3 	9.5 	-19.5 	T 	1.7 	1.7 	M 	  	 
Apr 	2.3 	-3.3 	-8.9 	10.0 	-19.0 	2.8 	8.7 	11.5 	M 	  	 
May 	14.6 	8.1 	1.5 	23.5 	-3.0S 	4.1 	0.0 	4.1 	0 	  	 
Jun 	15.1 	9.1 	3.0 	20.5 	-2.0 	52.9 	0.0 	52.9 	0 	  	 
Jul 	18.8 	13.2 	7.6 	24.0S 	2.5 	35.9 	0.0 	35.9 	0 	  	 
Aug 	16.9 	11.6 	6.3 	27.0 	-2.0 	24.2 	0.0 	24.2 	0 	  	 
Sept 	9.9E 	5.1E 	0.2 	15.0 	-9.5 	40.7 	18.0 	58.7 	M 	  	 
Oct 	3.8 	0.3 	-3.3 	15.5 	-12.5 	7.2 	33.8 	41.0 	M 	  	 
Nov 	-2.5 	-6.9 	-11.3 	7.0 	-21.0 	0.0 	15.0 	15.0 	M 	  	 
Dec 	-13.8 	-17.4 	-20.9 	5.0 	-39.0 	0.0 	5.8 	5.8 	M 	  	 
1982Jan 	-23.9 	-28.5 	-33.0 	-13.0 	-40.5 	0.0 	11.0 	11.0 	M 	  	 
Feb 	-12.9 	-17.8E 	-22.6E 	3.5 	-36.5 	0.0 	40.5 	40.5 	M 	  	 
Mar 	-3.4 	-9.7 	-16.0 	5.0 	-30.5 	0.0 	28.3 	28.3 	M 	  	 
Apr 	2.6 	-3.0 	-8.6 	12.0 	-26.5 	0.8 	23.8 	24.6 	M 	  	 
May 	9.1 	3.8 	-1.6 	18.5 	-10.5 	4.9 	1.4 	6.3 	M 	  	 
Jun 	18.1 	11.5 	4.8 	28.0 	0.5S 	7.1 	0.0 	7.1 	0 	  	 
Jul 	20.8 	14.2 	7.5 	28.5 	0.5 	27.2 	0.0 	27.2 	0 	  	 
Aug 	15.7 	10.2 	4.6 	24.0 	0.0 	69.2 	0.0 	69.2 	0 	  	 
Sept 	12.5 	7.2 	1.8 	20.5 	-5.0 	28.4 	0.3 	28.7 	0 	  	 
Oct 	0.0 	-3.8 	-7.5 	10.0 	-31.5 	3.0 	59.2 	62.2 	M 	  	 
Nov 	-7.7E 	-12.1E 	-16.4 	2.5 	-33.0 	0.0 	14.5 	14.5 	M 	  	 
Dec 	-9.9 	-14.1E 	-18.3E 	4.0 	-31.0 	0.0 	12.7 	12.7 	M 	 
1983Jan 	-15.0 	-19.6 	-24.1 	-0.5 	-42.5 	0.0 	20.0 	20.0 	M 	  	 
Feb 	-6.0 	-11.6 	-17.1 	4.0 	-32.0S 	0.0 	10.6 	10.6 	M 	  	 
Mar 	-0.7 	-8.2 	-15.6 	5.5 	-26.5 	0.0 	1.1 	1.1 	M 	  	 
Apr 	6.8 	0.9 	-5.0 	17.0 	-16.5 	2.8 	2.3 	5.1 	M 	  	 
May 	12.5 	6.7 	0.8 	31.0 	-3.0S 	17.9 	0.0 	17.9 	0 	  	 
Jun 	17.8 	11.6 	5.4 	27.0S 	-2.0 	54.1 	0.0 	54.1 	0 	  	 
Jul 	18.2 	12.4 	6.6 	25.0 	2.0 	50.5 	0.0 	50.5 	0 	  	 
Aug 	15.1 	10.1 	5.1 	20.0S 	-1.0 	37.3 	0.0 	37.3 	0 	  	 
Sept 	9.4 	4.0 	-1.4 	16.0 	-17.5 	31.4 	0.6 	32.0 	0 	  	 
Oct 	3.0 	-1.1 	-5.1 	10.5 	-18.0 	8.6 	7.1 	15.7 	M 	  	 
Nov 	-7.5 	-11.4 	-15.2 	2.0 	-23.0 	0.0 	5.0 	5.0 	M 	  	 
Dec 	-18.4 	-22.2 	-26.0 	-4.5 	-38.5 	0.0 	5.5 	5.5 	M 	  	 
