,ScientificName
1,Achillea millefolium
2,Achillea sibirica
3,Aconitum delphiniifolium
4,Aconogonon alaskanum
5,Agropyron sp.
6,Agrostis clavata
7,Agrostis scabra
8,Algae
9,Alnus incana
10,Alnus viridis
11,Alopecurus aequalis
12,Amerorchis rotundifolia
13,Andromeda polifolia
14,Androsace septentrionalis
15,Anemone canadensis
16,Anemone parviflora
17,Anemone quinquefolia
18,Anemone richardsonii
19,Anemone sp.
20,Anemone virginiana
21,Anthoxanthum nitens
22,aquatic algae
23,Aquatic moss
24,Aquilegia brevistyla
25,Arctagrostis latifolia
26,Arctophila fulva
27,Arctostaphylos alpina
28,Arctostaphylos rubra
29,Arctostaphylos uva-ursi
30,Argentina anserina
31,Arnica alpina
32,Arnica angustifolia
33,Arnica chamissonis
34,Arnica latifolia
35,Arnica lonchophylla
36,Arnica sp.
37,Artemisia laciniata
38,Artemisia tilesii
39,Aster sibiricus
40,Astragalus alpinus
41,Astragalus americanus
42,Astragalus bodinii
43,Astragalus canadensis
44,Astragalus eucosmus
45,Astragalus sp.
46,Barbarea orthoceras
47,Beckmannia sp.
48,Beckmannia syzigachne
49,Betula hybrid
50,Betula nana
51,Betula neoalaskana
52,Betula occidentalis
53,Bidens cernua
54,Boschniakia rossica
55,Bromus ciliatus
56,Bromus pumpellianus
57,Calamagrostis canadensis
58,Calamagrostis lapponica
59,Calamagrostis purpurascens
60,Calamagrostis sp.
61,Calamagrostis stricta
62,Calla palustris
63,Callitriche hermaphroditica
64,Callitriche palustris
65,Caltha palustris
66,Campanula rotundifolia
67,Cardamine pratensis
68,Carex aquatilis
69,Carex atherodes
70,Carex aurea
71,Carex bigelowii
72,Carex bonanzensis
73,Carex brunnea
74,Carex canescens
75,Carex capillaris
76,Carex chordorrhiza
77,Carex concinna
78,Carex crawfordii
79,Carex deweyana
80,Carex diandra
81,Carex disperma
82,Carex gynocrates
83,Carex interior
84,Carex lapponica
85,Carex lasiocarpa
86,Carex limosa
87,Carex lugens
88,Carex magellanica
89,Carex maritima
90,Carex norvegica
91,Carex sartwellii
92,Carex sp.
93,Carex stylosa
94,Carex sychnocephala
95,Carex tenuiflora
96,Carex utriculata
97,Carex vaginata
98,Castilleja caudata
99,Castilleja elegans
100,Castilleja raupii
101,Cerastium arvense
102,Cerastium maximum
103,Cerastium nutans
104,Ceratophyllum demersum
105,Chamaedaphne calyculata
106,Chamerion angustifolium
107,Chamerion latifolium
108,Chenopodium album
109,Chenopodium capitatum
110,Chenopodium rubrum
111,Chrysoplenium tetrandrum
112,Cicuta bulbifera
113,Cicuta douglasii
114,Cicuta maculata
115,Cicuta virosa
116,Cnidium cnidiifolium
117,Comarum palustre
118,Cornus canadensis
119,Cornus sericea
120,Crepis tectorum
121,Cypripedium calceolus
122,Cypripedium passerinum
123,Dasiphora fruticosa
124,Delphinium glaucum
125,Deschampsia caespitosa
126,Descurainia sophioides
127,Drosera anglica
128,Drosera linearis
129,Drosera rotundifolia
130,Dryas integrifolia
131,Eleocharis acicularis
132,Eleocharis palustris
133,Eleocharis sp.
134,Elymus macrourus
135,Elymus trachycaulus
136,Empetrum nigrum
137,Epilobium ciliatum
138,Epilobium hornemannii
139,Epilobium leptophyllum
140,Epilobium palustre
141,Epilobium sp.
142,Equisetum arvense
143,Equisetum fluviatile
144,Equisetum hyemale
145,Equisetum palustre
146,Equisetum pratense
147,Equisetum scirpoides
148,Equisetum sp.
149,Equisetum sylvaticum
150,Equisetum variegatum
151,Erigeron acris
152,Erigeron elatus
153,Erigeron glabellus
154,Erigeron lonchophyllus
155,Erigeron philadelphicus
156,Eriophorum
157,Eriophorum angustifolium
158,Eriophorum brachyantherum
159,Eriophorum chamissonis
160,Eriophorum gracile
161,Eriophorum russeolum
162,Eriophorum scheuchzeri
163,Eriophorum vaginatum
164,Erysimum cheiranthoides
165,Euthamia graminifolia
166,Fragaria virginiana
167,Galium boreale
168,Galium sp.
169,Galium trifidum
170,Gentianella propinqua
171,Geocaulon lividum
172,Geum aleppicum
173,Geum macrophyllum
174,Geum rivale
175,Geum sp.
176,Glyceria borealis
177,Glyceria grandis
178,Glyceria maxima
179,Glyceria pulchella
180,Glyceria sp.
181,Goodyera repens
182,Halenia deflexa
183,Hedysarum alpinum
184,Hippuris vulgaris
185,Hordeum jubatum
186,Iris setosa
187,Juncus arcticus
188,Juncus balticus
189,Juncus effusus
190,Juncus filiformis
191,Juncus tenuis
192,Ledum groenlandicum
193,Ledum palustre
194,Lemna minor
195,Lemna trisulca
196,Lichen
197,Lilium longiflorum
198,Linnaea borealis
199,Liverwort
200,Lomatogonium rotatum
201,Lupinus arcticus
202,Lupinus nootkatensis
203,Luzula rufescens
204,Lycopodium annotinum
205,Lycopodium clavatum
